Epoch time step,Epoch number,Episode reward,N steps
400,1,-1000.0,5
800,2,-1000.0,5
1200,3,-1000.0,5
1600,4,-1000.0,5
2000,5,-882.0,5
2400,6,-1000.0,5
2800,7,-1000.0,5
3200,8,-767.0,5
3600,9,-603.0,5
4000,10,-857.0,5
4400,11,-472.0,5
4800,12,-1000.0,5
5200,13,-1000.0,5
5600,14,-439.0,5
6000,15,-805.0,5
6400,16,-714.0,5
6800,17,-1000.0,5
7200,18,-389.0,5
7600,19,-315.0,5
8000,20,-739.0,5
8400,21,-549.0,5
8800,22,-730.0,5
9200,23,-583.0,5
9600,24,-587.0,5
10000,25,-1000.0,5
10400,26,-462.0,5
10800,27,-319.0,5
11200,28,-510.0,5
11600,29,-303.0,5
12000,30,-309.0,5
12400,31,-218.0,5
12800,32,-117.0,5
13200,33,-262.0,5
13600,34,-286.0,5
14000,35,-181.0,5
14400,36,-179.0,5
14800,37,-144.0,5
15200,38,-178.0,5
15600,39,-125.0,5
16000,40,-146.0,5
16400,41,-131.0,5
16800,42,-139.0,5
17200,43,-207.0,5
17600,44,-412.0,5
18000,45,-314.0,5
18400,46,-308.0,5
18800,47,-185.0,5
19200,48,-83.0,5
19600,49,-631.0,5
20000,50,-357.0,5
20400,51,-118.0,5
20800,52,-186.0,5
21200,53,-375.0,5
21600,54,-147.0,5
22000,55,-174.0,5
22400,56,-101.0,5
22800,57,-172.0,5
23200,58,-238.0,5
23600,59,-201.0,5
24000,60,-490.0,5
24400,61,-193.0,5
24800,62,-117.0,5
25200,63,-212.0,5
25600,64,-146.0,5
26000,65,-125.0,5
26400,66,-138.0,5
26800,67,-203.0,5
27200,68,-187.0,5
27600,69,-153.0,5
28000,70,-134.0,5
28400,71,-120.0,5
28800,72,-246.0,5
29200,73,-140.0,5
29600,74,-229.0,5
30000,75,-125.0,5
30400,76,-248.0,5
30800,77,-168.0,5
31200,78,-128.0,5
31600,79,-120.0,5
32000,80,-155.0,5
32400,81,-156.0,5
32800,82,-140.0,5
33200,83,-225.0,5
33600,84,-135.0,5
34000,85,-105.0,5
34400,86,-166.0,5
34800,87,-158.0,5
35200,88,-145.0,5
35600,89,-172.0,5
36000,90,-107.0,5
36400,91,-153.0,5
36800,92,-134.0,5
37200,93,-116.0,5
37600,94,-141.0,5
38000,95,-95.0,5
38400,96,-87.0,5
38800,97,-184.0,5
39200,98,-143.0,5
39600,99,-138.0,5
40000,100,-95.0,5
