Epoch time step,Epoch number,Episode reward
400,1,11.0
800,2,13.0
1200,3,10.0
1600,4,24.0
2000,5,13.0
2400,6,10.0
2800,7,22.0
3200,8,127.0
3600,9,47.0
4000,10,9.0
4400,11,19.0
4800,12,64.0
5200,13,22.0
5600,14,38.0
6000,15,57.0
6400,16,9.0
6800,17,47.0
7200,18,170.0
7600,19,54.0
8000,20,25.0
8400,21,83.0
8800,22,129.0
9200,23,9.0
9600,24,17.0
10000,25,44.0
10400,26,108.0
10800,27,87.0
11200,28,52.0
11600,29,174.0
12000,30,82.0
12400,31,30.0
12800,32,31.0
13200,33,94.0
13600,34,174.0
14000,35,109.0
14400,36,162.0
14800,37,47.0
15200,38,79.0
15600,39,71.0
16000,40,45.0
16400,41,9.0
16800,42,86.0
17200,43,143.0
17600,44,102.0
18000,45,122.0
18400,46,138.0
18800,47,76.0
19200,48,17.0
19600,49,270.0
20000,50,122.0
20400,51,80.0
20800,52,235.0
21200,53,118.0
21600,54,131.0
22000,55,168.0
22400,56,90.0
22800,57,100.0
23200,58,110.0
23600,59,95.0
24000,60,131.0
24400,61,124.0
24800,62,29.0
25200,63,232.0
25600,64,110.0
26000,65,288.0
26400,66,184.0
26800,67,288.0
27200,68,110.0
27600,69,96.0
28000,70,154.0
28400,71,144.0
28800,72,110.0
29200,73,148.0
29600,74,177.0
30000,75,194.0
30400,76,281.0
30800,77,283.0
31200,78,142.0
31600,79,106.0
32000,80,222.0
32400,81,151.0
32800,82,157.0
33200,83,101.0
33600,84,133.0
34000,85,255.0
34400,86,10.0
34800,87,824.0
35200,88,90.0
35600,89,230.0
36000,90,247.0
36400,91,188.0
36800,92,161.0
37200,93,340.0
37600,94,83.0
38000,95,143.0
38400,96,19.0
38800,97,437.0
39200,98,97.0
39600,99,96.0
40000,100,17.0
