Epoch time step,Epoch number,Episode reward
400,1,11.0
800,2,12.0
1200,3,23.0
1600,4,11.0
2000,5,8.0
2400,6,10.0
2800,7,8.0
3200,8,14.0
3600,9,13.0
4000,10,24.0
4400,11,34.0
4800,12,11.0
5200,13,15.0
5600,14,71.0
6000,15,11.0
6400,16,68.0
6800,17,19.0
7200,18,86.0
7600,19,92.0
8000,20,61.0
8400,21,77.0
8800,22,176.0
9200,23,45.0
9600,24,77.0
10000,25,111.0
10400,26,263.0
10800,27,121.0
11200,28,68.0
11600,29,97.0
12000,30,93.0
12400,31,69.0
12800,32,97.0
13200,33,62.0
13600,34,217.0
14000,35,137.0
14400,36,60.0
14800,37,140.0
15200,38,127.0
15600,39,100.0
16000,40,100.0
16400,41,65.0
16800,42,90.0
17200,43,97.0
17600,44,293.0
18000,45,90.0
18400,46,75.0
18800,47,119.0
19200,48,131.0
19600,49,188.0
20000,50,28.0
20400,51,154.0
20800,52,77.0
21200,53,138.0
21600,54,101.0
22000,55,109.0
22400,56,93.0
22800,57,86.0
23200,58,103.0
23600,59,142.0
24000,60,130.0
24400,61,167.0
24800,62,154.0
25200,63,158.0
25600,64,225.0
26000,65,181.0
26400,66,97.0
26800,67,199.0
27200,68,105.0
27600,69,187.0
28000,70,163.0
28400,71,140.0
28800,72,129.0
29200,73,139.0
29600,74,164.0
30000,75,261.0
30400,76,151.0
30800,77,128.0
31200,78,136.0
31600,79,144.0
32000,80,224.0
32400,81,98.0
32800,82,141.0
33200,83,153.0
33600,84,328.0
34000,85,129.0
34400,86,117.0
34800,87,198.0
35200,88,93.0
35600,89,87.0
36000,90,94.0
36400,91,138.0
36800,92,165.0
37200,93,99.0
37600,94,121.0
38000,95,132.0
38400,96,210.0
38800,97,142.0
39200,98,99.0
39600,99,191.0
40000,100,219.0
