Epoch time step,Epoch number,Episode reward
400,1,12.0
800,2,10.0
1200,3,10.0
1600,4,13.0
2000,5,10.0
2400,6,10.0
2800,7,73.0
3200,8,12.0
3600,9,10.0
4000,10,10.0
4400,11,51.0
4800,12,13.0
5200,13,17.0
5600,14,142.0
6000,15,13.0
6400,16,9.0
6800,17,189.0
7200,18,15.0
7600,19,168.0
8000,20,79.0
8400,21,59.0
8800,22,105.0
9200,23,130.0
9600,24,48.0
10000,25,179.0
10400,26,14.0
10800,27,123.0
11200,28,79.0
11600,29,95.0
12000,30,81.0
12400,31,53.0
12800,32,51.0
13200,33,65.0
13600,34,90.0
14000,35,156.0
14400,36,149.0
14800,37,134.0
15200,38,137.0
15600,39,93.0
16000,40,67.0
16400,41,85.0
16800,42,69.0
17200,43,121.0
17600,44,133.0
18000,45,134.0
18400,46,141.0
18800,47,111.0
19200,48,104.0
19600,49,144.0
20000,50,80.0
20400,51,159.0
20800,52,151.0
21200,53,121.0
21600,54,98.0
22000,55,154.0
22400,56,225.0
22800,57,144.0
23200,58,256.0
23600,59,121.0
24000,60,155.0
24400,61,104.0
24800,62,288.0
25200,63,193.0
25600,64,163.0
26000,65,159.0
26400,66,213.0
26800,67,146.0
27200,68,176.0
27600,69,296.0
28000,70,145.0
28400,71,155.0
28800,72,100.0
29200,73,142.0
29600,74,128.0
30000,75,115.0
30400,76,118.0
30800,77,249.0
31200,78,220.0
31600,79,170.0
32000,80,120.0
32400,81,120.0
32800,82,132.0
33200,83,312.0
33600,84,141.0
34000,85,165.0
34400,86,233.0
34800,87,123.0
35200,88,100.0
35600,89,109.0
36000,90,164.0
36400,91,99.0
36800,92,97.0
37200,93,153.0
37600,94,101.0
38000,95,111.0
38400,96,148.0
38800,97,253.0
39200,98,12.0
39600,99,127.0
40000,100,266.0
