Epoch number,N steps seed_0,N steps seed_10,N steps seed_20,N steps seed_40,N steps seed_60,N steps seed_80,N steps seed_100,N steps
1,6,6,6,6,6,6,6,6.0
2,6,6,6,6,6,6,6,6.0
3,6,6,6,6,5,6,6,5.857142857142857
4,6,6,6,6,5,6,6,5.857142857142857
5,6,6,6,6,5,6,6,5.857142857142857
6,6,6,6,6,5,6,6,5.857142857142857
7,6,6,6,6,5,6,6,5.857142857142857
8,6,6,6,6,5,5,5,5.571428571428571
9,6,6,6,6,5,5,5,5.571428571428571
10,6,6,6,6,5,5,5,5.571428571428571
11,6,6,6,6,5,4,5,5.428571428571429
12,6,6,6,6,5,4,5,5.428571428571429
13,6,6,6,6,5,4,5,5.428571428571429
14,6,6,6,6,5,4,5,5.428571428571429
15,6,6,6,6,5,4,5,5.428571428571429
16,6,6,5,6,5,4,5,5.285714285714286
17,6,6,5,6,5,4,5,5.285714285714286
18,6,6,5,6,5,4,5,5.285714285714286
19,6,6,5,6,5,4,5,5.285714285714286
20,6,6,5,6,5,4,5,5.285714285714286
21,6,6,5,6,5,5,5,5.428571428571429
22,6,6,5,6,5,5,5,5.428571428571429
23,6,6,6,6,5,5,6,5.714285714285714
24,6,6,6,6,5,5,6,5.714285714285714
25,6,6,6,6,5,5,6,5.714285714285714
26,6,6,6,6,5,5,6,5.714285714285714
27,6,6,6,6,5,5,6,5.714285714285714
28,6,6,6,5,5,5,6,5.571428571428571
29,6,6,6,5,5,5,6,5.571428571428571
30,6,6,6,5,5,5,6,5.571428571428571
31,6,6,6,5,5,4,6,5.428571428571429
32,6,6,6,5,5,4,6,5.428571428571429
33,6,6,6,5,5,4,5,5.285714285714286
34,6,6,6,5,5,4,5,5.285714285714286
35,6,6,6,5,5,4,5,5.285714285714286
36,6,6,6,6,5,4,4,5.285714285714286
37,6,6,6,6,5,4,4,5.285714285714286
38,6,7,6,6,5,4,4,5.428571428571429
39,6,7,6,6,5,4,4,5.428571428571429
40,6,7,6,6,5,4,4,5.428571428571429
41,6,7,6,6,4,3,5,5.285714285714286
42,6,7,6,6,4,3,5,5.285714285714286
43,7,8,6,7,4,4,5,5.857142857142857
44,7,8,6,7,4,4,5,5.857142857142857
45,7,8,6,7,4,4,5,5.857142857142857
46,6,7,6,7,4,4,5,5.571428571428571
47,6,7,6,7,4,4,5,5.571428571428571
48,6,7,6,8,5,4,6,6.0
49,6,7,6,8,5,4,6,6.0
50,6,7,6,8,5,4,6,6.0
51,6,7,6,7,5,3,5,5.571428571428571
52,6,7,6,7,5,3,5,5.571428571428571
53,6,6,6,8,5,3,5,5.571428571428571
54,6,6,6,8,5,3,5,5.571428571428571
55,6,6,6,8,5,3,5,5.571428571428571
56,7,6,5,8,6,3,5,5.714285714285714
57,7,6,5,8,6,3,5,5.714285714285714
58,7,6,5,8,5,3,4,5.428571428571429
59,7,6,5,8,5,3,4,5.428571428571429
60,7,6,5,8,5,3,4,5.428571428571429
61,7,6,5,9,6,3,4,5.714285714285714
62,7,6,5,9,6,3,4,5.714285714285714
63,7,6,6,10,6,4,4,6.142857142857143
64,7,6,6,10,6,4,4,6.142857142857143
65,7,6,6,10,6,4,4,6.142857142857143
66,8,6,6,10,5,4,4,6.142857142857143
67,8,6,6,10,5,4,4,6.142857142857143
68,8,5,6,10,4,5,4,6.0
69,8,5,6,10,4,5,4,6.0
70,8,5,6,10,4,5,4,6.0
71,8,5,7,9,4,5,4,6.0
72,8,5,7,9,4,5,4,6.0
73,8,6,7,9,4,5,3,6.0
74,8,6,7,9,4,5,3,6.0
75,8,6,7,9,4,5,3,6.0
76,7,6,6,10,4,6,3,6.0
77,7,6,6,10,4,6,3,6.0
78,6,5,6,10,4,5,4,5.714285714285714
79,6,5,6,10,4,5,4,5.714285714285714
80,6,5,6,10,4,5,4,5.714285714285714
81,7,4,5,10,4,6,4,5.714285714285714
82,7,4,5,10,4,6,4,5.714285714285714
83,7,5,5,10,4,6,4,5.857142857142857
84,7,5,5,10,4,6,4,5.857142857142857
85,7,5,5,10,4,6,4,5.857142857142857
86,6,6,5,10,3,7,4,5.857142857142857
87,6,6,5,10,3,7,4,5.857142857142857
88,6,7,5,10,3,7,3,5.857142857142857
89,6,7,5,10,3,7,3,5.857142857142857
90,6,7,5,10,3,7,3,5.857142857142857
91,5,6,5,11,4,7,3,5.857142857142857
92,5,6,5,11,4,7,3,5.857142857142857
93,6,7,6,10,4,8,4,6.428571428571429
94,6,7,6,10,4,8,4,6.428571428571429
95,6,7,6,10,4,8,4,6.428571428571429
96,5,7,5,10,5,7,5,6.285714285714286
97,5,7,5,10,5,7,5,6.285714285714286
98,6,7,5,10,5,7,5,6.428571428571429
99,6,7,5,10,5,7,5,6.428571428571429
100,6,7,5,10,5,7,5,6.428571428571429
