Epoch time step,Epoch number,Episode reward,N steps
400,1,-1000.0,3
800,2,-1000.0,3
1200,3,-1000.0,3
1600,4,-1000.0,3
2000,5,-1000.0,3
2400,6,-1000.0,3
2800,7,-1000.0,3
3200,8,-1000.0,3
3600,9,-1000.0,3
4000,10,-1000.0,3
4400,11,-1000.0,3
4800,12,-1000.0,3
5200,13,-832.0,3
5600,14,-726.0,3
6000,15,-426.0,3
6400,16,-395.0,3
6800,17,-164.0,3
7200,18,-436.0,3
7600,19,-552.0,3
8000,20,-178.0,3
8400,21,-108.0,3
8800,22,-258.0,3
9200,23,-141.0,3
9600,24,-123.0,3
10000,25,-96.0,3
10400,26,-87.0,3
10800,27,-79.0,3
11200,28,-89.0,3
11600,29,-117.0,3
12000,30,-150.0,3
12400,31,-91.0,3
12800,32,-523.0,3
13200,33,-89.0,3
13600,34,-99.0,3
14000,35,-115.0,3
14400,36,-109.0,3
14800,37,-130.0,3
15200,38,-239.0,3
15600,39,-239.0,3
16000,40,-135.0,3
16400,41,-176.0,3
16800,42,-162.0,3
17200,43,-323.0,3
17600,44,-147.0,3
18000,45,-132.0,3
18400,46,-270.0,3
18800,47,-290.0,3
19200,48,-215.0,3
19600,49,-134.0,3
20000,50,-192.0,3
20400,51,-386.0,3
20800,52,-249.0,3
21200,53,-188.0,3
21600,54,-186.0,3
22000,55,-360.0,3
22400,56,-621.0,3
22800,57,-209.0,3
23200,58,-133.0,3
23600,59,-212.0,3
24000,60,-163.0,3
24400,61,-220.0,3
24800,62,-153.0,3
25200,63,-122.0,3
25600,64,-288.0,3
26000,65,-173.0,3
26400,66,-132.0,3
26800,67,-128.0,3
27200,68,-107.0,3
27600,69,-112.0,3
28000,70,-122.0,3
28400,71,-150.0,3
28800,72,-989.0,3
29200,73,-154.0,3
29600,74,-120.0,3
30000,75,-120.0,3
30400,76,-192.0,3
30800,77,-108.0,3
31200,78,-106.0,3
31600,79,-196.0,3
32000,80,-159.0,3
32400,81,-367.0,3
32800,82,-127.0,3
33200,83,-134.0,3
33600,84,-156.0,3
34000,85,-136.0,3
34400,86,-158.0,3
34800,87,-509.0,3
35200,88,-146.0,3
35600,89,-115.0,3
36000,90,-113.0,3
36400,91,-128.0,3
36800,92,-103.0,2
37200,93,-132.0,2
37600,94,-527.0,2
38000,95,-145.0,2
38400,96,-111.0,3
38800,97,-111.0,3
39200,98,-185.0,3
39600,99,-103.0,3
40000,100,-122.0,4
