Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward,Episode reward std
56,-164.0,-1000.0,-322.0,-1000.0,-362.0,-1000.0,-756.0,-657.7142857142857,339.1256464522149
57,-226.0,-1000.0,-156.0,-1000.0,-259.0,-410.0,-440.0,-498.7142857142857,330.1907302868252
58,-120.0,-740.0,-199.0,-1000.0,-194.0,-300.0,-196.0,-392.7142857142857,313.52407712769923
59,-278.0,-248.0,-426.0,-1000.0,-214.0,-222.0,-178.0,-366.57142857142856,268.9677926246705
60,-201.0,-891.0,-291.0,-1000.0,-1000.0,-272.0,-233.0,-555.4285714285714,356.11589491659157
61,-379.0,-622.0,-193.0,-1000.0,-1000.0,-1000.0,-177.0,-624.4285714285714,352.4862133647852
62,-139.0,-465.0,-437.0,-1000.0,-313.0,-554.0,-188.0,-442.2857142857143,266.5728066110454
63,-232.0,-1000.0,-297.0,-1000.0,-1000.0,-442.0,-283.0,-607.7142857142857,344.81246011862913
64,-184.0,-1000.0,-1000.0,-1000.0,-227.0,-1000.0,-158.0,-652.7142857142857,401.4433652586677
65,-211.0,-1000.0,-649.0,-1000.0,-1000.0,-277.0,-134.0,-610.1428571428571,369.26313829858844
66,-155.0,-346.0,-583.0,-1000.0,-258.0,-465.0,-277.0,-440.57142857142856,263.0659108843024
67,-160.0,-1000.0,-1000.0,-1000.0,-484.0,-560.0,-196.0,-628.5714285714286,347.67754237135847
68,-1000.0,-1000.0,-524.0,-1000.0,-1000.0,-756.0,-369.0,-807.0,245.97618932385654
69,-176.0,-368.0,-774.0,-1000.0,-1000.0,-721.0,-156.0,-599.2857142857143,337.141222756329
70,-188.0,-306.0,-1000.0,-1000.0,-423.0,-500.0,-571.0,-569.7142857142857,295.66617966199374
71,-232.0,-725.0,-1000.0,-1000.0,-1000.0,-459.0,-193.0,-658.4285714285714,336.511879282083
72,-1000.0,-1000.0,-997.0,-1000.0,-600.0,-344.0,-276.0,-745.2857142857143,307.14478404711184
73,-174.0,-263.0,-1000.0,-1000.0,-465.0,-659.0,-172.0,-533.2857142857143,335.6825516916303
74,-279.0,-940.0,-1000.0,-1000.0,-626.0,-188.0,-555.0,-655.4285714285714,313.86523820758174
75,-304.0,-286.0,-1000.0,-1000.0,-1000.0,-241.0,-203.0,-576.2857142857143,368.1547478538705
76,-289.0,-232.0,-1000.0,-1000.0,-1000.0,-352.0,-155.0,-575.4285714285714,371.76177362194005
77,-284.0,-681.0,-1000.0,-1000.0,-312.0,-687.0,-278.0,-606.0,297.69639375904916
78,-150.0,-446.0,-893.0,-1000.0,-1000.0,-1000.0,-263.0,-678.8571428571429,350.9385084807506
79,-139.0,-172.0,-287.0,-1000.0,-1000.0,-1000.0,-156.0,-536.2857142857143,403.9790356249812
80,-128.0,-223.0,-1000.0,-341.0,-1000.0,-1000.0,-157.0,-549.8571428571429,394.722842573089
