Epoch time step,Epoch number,Episode reward
3000,1,-1000.0
6000,2,-1000.0
9000,3,-1000.0
12000,4,-1000.0
15000,5,-1000.0
18000,6,-1000.0
21000,7,-245.0
24000,8,-670.0
27000,9,-1000.0
30000,10,-392.0
33000,11,-236.0
36000,12,-174.0
39000,13,-388.0
42000,14,-106.0
45000,15,-182.0
48000,16,-1000.0
51000,17,-1000.0
54000,18,-190.0
57000,19,-175.0
60000,20,-179.0
63000,21,-295.0
66000,22,-187.0
69000,23,-1000.0
72000,24,-821.0
75000,25,-1000.0
78000,26,-1000.0
81000,27,-1000.0
84000,28,-1000.0
87000,29,-236.0
90000,30,-161.0
93000,31,-1000.0
96000,32,-1000.0
99000,33,-1000.0
102000,34,-300.0
105000,35,-1000.0
108000,36,-160.0
111000,37,-145.0
114000,38,-146.0
117000,39,-1000.0
120000,40,-142.0
123000,41,-1000.0
126000,42,-439.0
129000,43,-1000.0
132000,44,-97.0
135000,45,-162.0
138000,46,-142.0
141000,47,-671.0
144000,48,-325.0
147000,49,-1000.0
150000,50,-146.0
153000,51,-430.0
156000,52,-141.0
159000,53,-1000.0
162000,54,-148.0
165000,55,-165.0
168000,56,-88.0
171000,57,-134.0
174000,58,-142.0
177000,59,-1000.0
180000,60,-1000.0
183000,61,-223.0
186000,62,-170.0
189000,63,-138.0
192000,64,-297.0
195000,65,-144.0
198000,66,-107.0
201000,67,-297.0
204000,68,-152.0
207000,69,-145.0
210000,70,-139.0
213000,71,-338.0
216000,72,-140.0
219000,73,-141.0
222000,74,-1000.0
225000,75,-1000.0
228000,76,-960.0
231000,77,-138.0
234000,78,-199.0
237000,79,-1000.0
240000,80,-143.0
243000,81,-972.0
246000,82,-489.0
249000,83,-1000.0
252000,84,-387.0
255000,85,-1000.0
258000,86,-1000.0
261000,87,-101.0
264000,88,-96.0
267000,89,-126.0
270000,90,-148.0
273000,91,-141.0
276000,92,-269.0
279000,93,-145.0
282000,94,-1000.0
285000,95,-142.0
288000,96,-89.0
291000,97,-141.0
294000,98,-141.0
297000,99,-199.0
300000,100,-145.0
