Episode time step,Episode number,Episode reward,Mean Q value,Std Q value,Cv Q value,Mean loss,Mean silhouette score
13,1,13.0,0.7902892514203603,0.49555026906452043,0.6270492331432884,0.25284543131979614,0.5169808
30,2,17.0,1.0687744056477266,0.14751677601989804,0.13802424088785703,0.03492388003060649,0.5471318
43,3,13.0,0.9189324012169471,0.05593561740761784,0.06087021997868614,0.005099011898542253,0.53767633
79,4,36.0,0.9961749662955602,0.04772948177076606,0.0479127496530614,0.001231926365613213,0.54399574
96,5,17.0,0.9430507526678198,0.026144449879678806,0.027723269193856342,0.00032756095649400614,0.55941176
124,6,28.0,1.001784331032208,0.029386150599240907,0.029333809372883993,0.0002121872127775402,0.5457384
136,7,12.0,0.9305870036284128,0.01216961458352854,0.013077352827923133,0.00022238972815102898,0.536449
166,8,30.0,0.9996257603168488,0.0350554941527232,0.03506861822129489,0.00020535821950034004,0.53065246
192,9,26.0,0.9564350545406342,0.02171894485143333,0.02270822754595158,0.00022358827482094057,0.5296674
202,10,10.0,1.0303652048110963,0.01581068901199055,0.015344742755447793,0.00016310878709191456,0.5487931
214,11,12.0,1.0305609355370204,0.014900509332116962,0.014458639774029836,0.0001695387776029141,0.54761875
304,12,90.0,0.9685543603367276,0.03336781113951441,0.03445114957503651,0.004204320697115489,0.55245864
319,13,15.0,0.9444943189620971,0.056325275217384806,0.059635377457093165,0.011138414524612016,0.5715603
347,14,28.0,1.0125167476279395,0.024649077445405135,0.024344365170404777,0.004678134023769027,0.55562615
356,15,9.0,0.9305933780140347,0.014172877704251123,0.015229936123656121,0.007012804126134142,0.5634414
370,16,14.0,1.0354580453463964,0.030942939279811392,0.029883334644871983,0.030332064507612295,0.57546
392,17,22.0,1.0141903541304849,0.0350084744031221,0.03451864263995745,0.0016712127438619393,0.5796407
407,18,15.0,1.0314483404159547,0.03469418001549154,0.03363637194035363,0.018803307838000667,0.5852982
426,19,19.0,0.9650846060953642,0.040766592441560556,0.04224147000592841,0.014711201588445539,0.5754768
444,20,18.0,0.943976471821467,0.03828880643436748,0.04056118725129517,0.011127545143002257,0.58041334
462,21,18.0,1.0193718075752258,0.020606473123118946,0.020214874464828933,0.018701855377811525,0.56936336
500,22,38.0,1.0086426734924316,0.028508305126761935,0.028264028358082203,0.011829957144360187,0.56474406
513,23,13.0,1.0293685518778288,0.031173267374898807,0.030283873854540122,0.026051263831994638,0.5818041
539,24,26.0,1.0095897156458635,0.023732328641404465,0.02350690411522488,0.006024112600733553,0.57486624
551,25,12.0,0.9445786277453104,0.02652398797967693,0.028080233027280257,0.013160995370223342,0.5663046
604,26,53.0,0.971223845796765,0.044075835007859034,0.04538174716221104,0.010608744724760193,0.58155483
635,27,31.0,1.0051240075019099,0.042579960848152014,0.0423628930662778,0.009159296289351092,0.5922044
673,28,38.0,0.9590051064365789,0.0249446244633127,0.026010940187795907,0.012508548315867972,0.59613234
700,29,27.0,1.0163433529712536,0.020510895678252435,0.020181069338712512,0.011504380625006484,0.5856795
745,30,45.0,0.996436889966329,0.03539387477206891,0.03552043800111106,0.015535650246763705,0.59882027
