Episode time step,Episode number,Episode reward,Mean Q value,Std Q value,Cv Q value,Mean loss,Mean silhouette score
1000,1,-1000.0,-1.2475671807127073,1.1335521581439922,-0.9086101138829407,6.307671940088272,0.38061816
2000,2,-1000.0,-6.4647674560546875,2.6203060618436025,-0.40532100801081566,9.046421572923661,0.38194478
3000,3,-1000.0,-11.95296499633789,2.561431006140581,-0.214292521305412,9.688248045563698,0.33538482
4000,4,-1000.0,-19.89791075706482,3.5766838352405106,-0.17975172765163783,8.652953156709671,0.315383
5000,5,-1000.0,-29.596300298690796,3.2116143471771896,-0.10851404786290997,9.120484048485755,0.35253826
6000,6,-1000.0,-39.47962194824219,2.813625533483834,-0.07126779322184237,10.508275994539261,0.37633833
7000,7,-1000.0,-49.33894188690186,2.9154463796122423,-0.05909016829536455,9.452013608932495,0.39160272
8000,8,-1000.0,-58.14910460662842,2.308525089735129,-0.039700096937898166,7.848904408335685,0.3926767
9000,9,-1000.0,-65.42059255599976,2.122543792242313,-0.03244458219215034,7.285761163830757,0.37736836
10000,10,-1000.0,-69.06149537277221,2.11112760725905,-0.03056880821742778,4.978470390200615,0.38951764
10536,11,-535.0,-69.59002934640912,5.814804565344853,-0.08355801283542495,4.90240373562521,0.4185842
11132,12,-595.0,-73.59230714196326,3.970174155787725,-0.05394822244299339,6.602339708865089,0.4081886
12017,13,-884.0,-75.26923424241232,5.36796045169097,-0.07131679371684453,5.685610092427098,0.4304416
12769,14,-751.0,-77.18449922825428,4.457445055522346,-0.057750521155038426,7.80368806540649,0.4517674
13398,15,-628.0,-76.04948411344155,4.775387346864853,-0.06279315898765991,8.147492109781608,0.49806798
13978,16,-579.0,-75.2340583538187,6.079910524537749,-0.08081327337074523,10.056473371489295,0.522859
14435,17,-456.0,-79.71927601085972,4.444505711644361,-0.05575195779548864,10.463366440923261,0.529937
14895,18,-459.0,-80.56391575025475,4.021059482967822,-0.04991142058478094,8.194017604382141,0.5270335
15343,19,-447.0,-79.9802468078477,3.4824540023835673,-0.043541426056738136,10.127569553708392,0.52691364
15933,20,-589.0,-78.89457672895011,3.9329847742183977,-0.049851142338091806,12.577447869919114,0.52368057
16933,21,-1000.0,-80.36151866149902,3.793542785787089,-0.047205961870461326,11.169650711894036,0.4988659
17317,22,-383.0,-81.20590649048488,2.7140319180231915,-0.03342160731056185,14.279358224167177,0.47443044
17628,23,-310.0,-79.68314371384992,4.313580469108293,-0.054134165245773795,10.209448364769914,0.46072266
17982,24,-353.0,-80.87715379531774,3.4108273016132293,-0.042172939347560154,8.227286300585094,0.44867608
18348,25,-365.0,-81.23988567414831,3.08585610742997,-0.03798449593845174,17.124061497671356,0.44757798
18763,26,-414.0,-81.78103244275931,2.288069320005878,-0.027977995039465388,11.77712492842272,0.41787204
19189,27,-425.0,-82.3729537999686,2.7279590457283196,-0.03311716916638431,11.93830706969673,0.40225154
19737,28,-547.0,-82.6211563305263,2.6654288668199384,-0.03226085164139895,14.163520197363665,0.36360595
20737,29,-1000.0,-82.22643588256835,2.092907655811414,-0.025452977906039842,19.273084982395172,0.34903604
21450,30,-712.0,-83.02152693054285,2.0002531565221657,-0.02409318679714973,13.68647447633877,0.33770093
22281,31,-830.0,-84.17808773256525,1.700373520936136,-0.020199716657121534,14.675472270280446,0.3321297
22648,32,-366.0,-83.63210186451592,2.6104368612485622,-0.031213335585867162,12.200426194908184,0.32674792
22974,33,-325.0,-83.88430201056545,2.0942699605058883,-0.024966172577106375,22.302277403375122,0.30982468
23974,34,-1000.0,-85.43649057006836,1.3845131094486023,-0.01620517299119552,16.86875613808632,0.3060544
24974,35,-1000.0,-86.27706435394288,1.7380771095863783,-0.020145297276876434,16.177608919262887,0.2964153
25974,36,-1000.0,-85.55178578186035,2.3081587717602563,-0.026979667936395762,15.545710378915071,0.2857282
26974,37,-1000.0,-87.50522639465332,0.949896284062877,-0.010855309142093903,15.444227377176285,0.29128373
27341,38,-366.0,-85.92555525777125,2.081915608999806,-0.024229294797737302,19.61278297831317,0.300579
27854,39,-512.0,-86.90631417317232,1.7621854030232234,-0.020276839718594394,18.207012278236608,0.30191624
28613,40,-758.0,-86.80345908706525,1.9105227387218169,-0.022009753514609737,15.310083669164907,0.29944354
29613,41,-1000.0,-88.94118032836914,0.5353794572038678,-0.006019477763025598,16.979700828731062,0.341716
30613,42,-1000.0,-89.31304921722412,0.5726741311879975,-0.0064119872315092415,18.294052164107562,0.39303294
31613,43,-1000.0,-89.6868093032837,0.5919409082422151,-0.00660008882956819,17.468908440232276,0.4404094
32091,44,-477.0,-88.79112893268154,1.043101024626364,-0.011747806759132527,16.382029324458234,0.46423373
32616,45,-524.0,-89.34155241466704,1.4376314327764892,-0.016091408688578775,26.093943210783458,0.46568316
33217,46,-600.0,-88.56966208459534,1.448702587363047,-0.01635664575505946,17.37278031063159,0.4648259
33618,47,-400.0,-88.87917105277577,1.1969119126478471,-0.013466731276522932,20.623715452868446,0.4619513
34107,48,-488.0,-89.81746164957683,1.6581558953983493,-0.018461397872360844,13.589859463015461,0.47714558
35107,49,-1000.0,-90.61725621795654,0.5121922247977224,-0.005652259251436344,16.407983176901936,0.48106986
35452,50,-344.0,-90.01674552585767,0.951707264969444,-0.010572558021396833,26.399770361919334,0.48283148
35839,51,-386.0,-90.61713884535995,0.9464164251182487,-0.010444121687988056,21.818943598858763,0.4742491
36523,52,-683.0,-91.40646474960951,0.9998381517840812,-0.010938374594433186,24.787276995243037,0.44795713
36726,53,-202.0,-91.36973996467778,1.0077343967022052,-0.011029191908522239,28.72497343231598,0.46285775
37075,54,-348.0,-91.42723632200399,1.1227032444511633,-0.012279746053977133,14.756647889499678,0.44895318
37394,55,-318.0,-91.34444367698741,1.2153369024418859,-0.013304989920783414,25.774076306614383,0.45387426
38323,56,-928.0,-91.38221937000944,1.1287533877935567,-0.012352002343291743,24.49642647579874,0.46127814
38516,57,-192.0,-91.65390943616165,1.3232297917949027,-0.014437243320390522,27.57937001440809,0.48200682
38741,58,-224.0,-92.05334469265408,1.019608590205213,-0.01107627966815831,29.668842756814428,0.46374136
38995,59,-253.0,-91.82187673613781,1.0951773185567002,-0.011927193796134614,23.41911728093474,0.45644757
39202,60,-206.0,-92.11481840714164,1.2612825690763974,-0.013692504538212392,26.003283733906954,0.46301228
39551,61,-348.0,-92.12109250393843,1.171437084021121,-0.01271627433175566,32.049391134014954,0.4704363
39761,62,-209.0,-91.8089485895066,1.0811072075527683,-0.011775619089012578,31.639565154271466,0.4579736
39977,63,-215.0,-91.98350849858036,0.9724609524557872,-0.01057212285472668,33.286364685399114,0.4557401
