Epoch time step,Epoch number,Episode reward
400,1,10.0
800,2,10.0
1200,3,9.0
1600,4,10.0
2000,5,9.0
2400,6,10.0
2800,7,8.0
3200,8,8.0
3600,9,10.0
4000,10,10.0
4400,11,14.0
4800,12,12.0
5200,13,9.0
5600,14,13.0
6000,15,8.0
6400,16,11.0
6800,17,10.0
7200,18,10.0
7600,19,12.0
8000,20,82.0
8400,21,10.0
8800,22,83.0
9200,23,12.0
9600,24,10.0
10000,25,12.0
10400,26,72.0
10800,27,13.0
11200,28,336.0
11600,29,12.0
12000,30,18.0
12400,31,26.0
12800,32,93.0
13200,33,67.0
13600,34,50.0
14000,35,58.0
14400,36,64.0
14800,37,93.0
15200,38,65.0
15600,39,181.0
16000,40,12.0
16400,41,55.0
16800,42,70.0
17200,43,205.0
17600,44,78.0
18000,45,92.0
18400,46,157.0
18800,47,116.0
19200,48,184.0
19600,49,107.0
20000,50,70.0
20400,51,121.0
20800,52,92.0
21200,53,185.0
21600,54,93.0
22000,55,181.0
22400,56,108.0
22800,57,72.0
23200,58,82.0
23600,59,142.0
24000,60,164.0
24400,61,85.0
24800,62,95.0
25200,63,788.0
25600,64,78.0
26000,65,17.0
26400,66,88.0
26800,67,95.0
27200,68,104.0
27600,69,79.0
28000,70,85.0
28400,71,92.0
28800,72,136.0
29200,73,338.0
29600,74,355.0
30000,75,118.0
30400,76,194.0
30800,77,150.0
31200,78,254.0
31600,79,126.0
32000,80,129.0
32400,81,215.0
32800,82,133.0
33200,83,187.0
33600,84,398.0
34000,85,112.0
34400,86,147.0
34800,87,118.0
35200,88,159.0
35600,89,236.0
36000,90,149.0
36400,91,329.0
36800,92,173.0
37200,93,257.0
37600,94,166.0
38000,95,116.0
38400,96,109.0
38800,97,102.0
39200,98,159.0
39600,99,137.0
40000,100,158.0
