Episode time step,Mean silhouette score seed_0,Mean silhouette score seed_10,Mean silhouette score seed_20,Mean silhouette score seed_40,Mean silhouette score seed_60,Mean silhouette score seed_80,Mean silhouette score seed_100,Mean silhouette score
539,,0.57486624,,,,,,0.57486624
540,0.55627054,,,,,,,0.55627054
541,,,,,,0.5801106,,0.5801106
548,,,,0.54859257,,,,0.54859257
550,,,,,,0.5571236,,0.5571236
551,,0.5663046,,,,,,0.5663046
556,0.572936,,,,,,,0.572936
566,,,,,0.5392694,,,0.5392694
569,,,0.5410144,0.54332256,,,,0.54216848
574,,,,,0.55071646,,,0.55071646
575,,,,,,0.59020567,,0.59020567
577,0.563669,,,,,,,0.563669
584,,,,,,,0.53537357,0.53537357
586,,,,,,0.56568944,,0.56568944
590,,,,0.55207366,,,,0.55207366
591,,,,,0.54053235,,,0.54053235
601,,,,,,,0.5326021,0.5326021
604,,0.58155483,,,,,,0.58155483
605,,,,,,0.56442714,,0.56442714
607,,,,0.5430429,,,,0.5430429
615,,,,,,0.59890634,0.53517556,0.56704095
619,,,0.5495348,,,,,0.5495348
624,0.5689292,,,,,,,0.5689292
626,,,,,,0.59247416,,0.59247416
630,,,,,0.5549122,,,0.5549122
634,,,,0.5565669,,,,0.5565669
635,,0.5922044,,,,,,0.5922044
640,0.5782747,,,,,0.5779835,0.535176,0.5638114
643,,,,,0.55289453,,,0.55289453
651,0.5738157,,,,,,,0.5738157
652,,,0.5446975,0.52610224,,,,0.53539987
656,,,,,0.5634793,,,0.5634793
661,,,0.54109836,,,,,0.54109836
663,,,,,,0.6028921,,0.6028921
668,,,,0.53369886,,,,0.53369886
673,,0.59613234,,,,,,0.59613234
677,,,0.52583355,,,,,0.52583355
683,0.57702917,,,,,,,0.57702917
690,,,0.53791887,,,,,0.53791887
694,0.55940044,,,,,,,0.55940044
696,,,,0.5461339,,,,0.5461339
700,,0.5856795,,,,,,0.5856795
703,,,,,0.5566725,,,0.5566725
704,,,,,,0.5934046,,0.5934046
705,,,0.56030643,,,,,0.56030643
707,,,,,,,0.5602585,0.5602585
710,0.6013791,,,,,,,0.6013791
713,,,,0.5466553,,,,0.5466553
720,,,,,,,0.5588481,0.5588481
723,,,,0.5364439,,,,0.5364439
727,,,0.563157,,,,,0.563157
733,,,,,,,0.5364873,0.5364873
743,,,,,0.54899937,,,0.54899937
744,,,0.55590415,,,,,0.55590415
745,0.57012415,0.59882027,,,,,,0.58447221
746,,,,0.5398897,,,,0.5398897
757,,,0.56247306,,,,,0.56247306
761,,,,0.5383943,0.55356723,,,0.5459807649999999
771,,,0.55341935,,,,0.5492599,0.551339625
773,0.56819016,,,,,,,0.56819016
775,,,,,0.5559177,,,0.5559177
780,,0.58860403,,,,,,0.58860403
783,,,,0.5315618,,,,0.5315618
786,0.5789049,,,,,,,0.5789049
789,,,,,0.5637357,,,0.5637357
793,,,,,,,0.52023476,0.52023476
796,,0.59791285,,,,,,0.59791285
804,,,0.54825556,,,,,0.54825556
807,,,,0.5417523,,0.5766862,,0.55921925
808,,0.5832959,,,0.5505907,,,0.5669432999999999
811,0.56177044,,,,,,,0.56177044
819,,,,,,,0.53582007,0.53582007
820,,,,0.55768013,,,,0.55768013
827,,,,,,0.5632138,,0.5632138
828,,,,,0.5417879,,,0.5417879
829,0.56375945,,,,,,,0.56375945
830,,,0.54844546,,,,,0.54844546
833,,0.5865771,,,,,,0.5865771
836,,,,,,0.5710962,,0.5710962
839,,,,,,,0.53359747,0.53359747
841,,,,0.53931254,,,,0.53931254
842,,,,,0.554609,,,0.554609
844,,,0.5615577,,,,,0.5615577
845,,,,,,0.5931222,,0.5931222
848,,0.6154924,,,,,,0.6154924
850,0.5618959,,,,,,,0.5618959
855,,,,0.54500794,,,,0.54500794
860,,,,,,0.5913629,,0.5913629
864,,0.588952,0.55560774,,,,,0.57227987
865,,,,0.57562,,,0.55869204,0.56715602
872,,,,,0.55870557,,,0.55870557
876,0.55770254,,0.5517526,,,,,0.5547275700000001
890,0.5539782,,,,,0.5800933,,0.5670357500000001
892,,,,,0.5463402,,,0.5463402
897,,0.56844926,,,,,,0.56844926
903,,,0.5392865,,,,,0.5392865
904,0.56305945,,,,,,,0.56305945
905,,,,,,,0.5502387,0.5502387
915,,,,,0.53977704,,,0.53977704
917,,,,,,0.57174844,,0.57174844
926,,,0.5583171,,,,,0.5583171
927,,,,0.5398096,,,0.51587135,0.527840475
930,0.5619452,,,,,,,0.5619452
933,,0.58742005,,,,,,0.58742005
935,,,,,,0.5853305,,0.5853305
940,,,0.5573034,,,,,0.5573034
944,,,,0.5442507,,,,0.5442507
945,,,,,0.5285422,,,0.5285422
946,,0.589546,,,,,,0.589546
952,,,,,,0.576166,,0.576166
955,0.57581586,,,,,,,0.57581586
958,,,0.5413815,0.56704366,,,,0.55421258
962,,0.5805799,,,,,,0.5805799
965,,,,,,,0.52796596,0.52796596
966,0.5726558,,,,,,,0.5726558
968,,,,,0.53985983,0.57668984,,0.558274835
973,,,,0.56592625,,,,0.56592625
975,,,0.5381563,,,,,0.5381563
976,,0.5844279,,,,,,0.5844279
977,,,,,,0.56039155,,0.56039155
979,,,,,,,0.5267571,0.5267571
985,,,,,,0.5795812,,0.5795812
989,,,,0.5681392,,,,0.5681392
990,,,0.55083454,,,,0.53931725,0.545075895
993,0.5447815,,,,,,,0.5447815
998,,,,,0.53605,,,0.53605
1002,,0.5867866,,,,,,0.5867866
1004,,,,,,0.5950538,,0.5950538
1012,,,0.5658493,,,,,0.5658493
1018,,,,,,,0.5418989,0.5418989
1021,0.5480918,,,,,,,0.5480918
1028,,,,0.56443334,,,,0.56443334
1030,,,0.5638497,,,,,0.5638497
1031,,,,,0.53442395,,,0.53442395
1036,0.5431569,,,,,,,0.5431569
1040,,,,,,,0.5470384,0.5470384
1042,,,,,,0.58991987,,0.58991987
1043,,,,0.5708851,,,,0.5708851
1048,0.5418843,,,,,,,0.5418843
1049,,,0.5754137,,,,,0.5754137
1051,,,,,0.5138714,,,0.5138714
1055,,,,,,0.57955545,,0.57955545
1057,0.5297204,,,,,,,0.5297204
1059,,,,,,,0.5455223,0.5455223
1060,,,,0.5654192,,,,0.5654192
1061,,,0.5509153,,,,,0.5509153
1065,,0.5637562,,,,,,0.5637562
1068,,,,,,0.5575154,,0.5575154
1070,,,,,0.5209,,,0.5209
1078,,,0.5628803,,,,,0.5628803
1081,0.56543905,,,,,,,0.56543905
1083,,,,,,0.5792242,,0.5792242
1084,,,,,0.5269948,,,0.5269948
1090,,,0.54857343,,,,,0.54857343
1097,,,,,,0.58212507,,0.58212507
1098,,,,,0.5426606,,,0.5426606
1111,,,,,,,0.5414654,0.5414654
1112,0.54501975,,,,,,,0.54501975
1113,,,,,0.5294462,,,0.5294462
1120,,,0.54655224,,,,,0.54655224
1123,,,,,0.5286008,,,0.5286008
1125,,0.5662543,,,,,,0.5662543
1126,0.5451173,,,,,0.58841324,,0.56676527
1130,,,,,,,0.5236251,0.5236251
1134,,,,0.5454587,,,,0.5454587
1140,,,0.55094,,,,,0.55094
1142,,,,,,,0.57343125,0.57343125
1143,,0.55739594,,0.58654743,,,,0.5719716850000001
1145,,,,,0.53918725,,,0.53918725
1157,,0.548664,,,,,,0.548664
1159,,,0.5494868,,,,,0.5494868
1161,,,,,,,0.5318711,0.5318711
1164,0.5691086,,,,,,,0.5691086
1166,,,,,,0.57593036,,0.57593036
1172,,,,,0.5540117,,,0.5540117
1175,,,,0.56261617,,,,0.56261617
1183,,,0.5599642,,,,,0.5599642
1185,,0.5670521,,,,,,0.5670521
1189,,,,,,0.575632,,0.575632
1192,,,0.533222,,0.55008924,,,0.54165562
1195,,0.5681654,,,,,,0.5681654
1198,,,,0.54875475,,,,0.54875475
1201,0.5765411,,,,,,,0.5765411
1207,,0.58490044,,,0.5255621,0.5513858,0.56160516,0.5558633749999999
1209,,,,0.5516348,,,,0.5516348
1211,,,0.5742547,,,,,0.5742547
1217,,,,,0.5683056,,,0.5683056
1219,,,,,,0.56666464,,0.56666464
1221,0.5434769,,,,,,,0.5434769
1222,,0.5796582,,,,,,0.5796582
1224,,,,0.56448156,,,,0.56448156
1228,,,0.5560285,,,,,0.5560285
1231,,,,,0.56761366,,,0.56761366
1235,,,,,,0.5641387,,0.5641387
1239,,,,,,,0.54473644,0.54473644
1242,,,0.53919756,,,,,0.53919756
1244,,,,,0.54375786,,,0.54375786
1247,0.56299657,,,,,,,0.56299657
1249,,,,0.5621846,,,,0.5621846
1250,,,,,,0.54076403,,0.54076403
1253,,0.54884976,,,,,,0.54884976
1258,,,,,,,0.5382853,0.5382853
1259,0.55009544,,,,,0.5579302,,0.5540128200000001
1268,,0.542321,,0.5533078,,,,0.5478144
1274,,,,,0.535877,,,0.535877
1279,,,,,,0.5734658,,0.5734658
1281,,,,0.55299276,,,,0.55299276
1284,0.5556682,,,,,,,0.5556682
1285,,,,,0.5342561,,0.5236161,0.5289361
1289,,,0.560999,,,,,0.560999
1296,,,,,,,0.5667936,0.5667936
1298,,,,,,0.5632136,,0.5632136
1301,,0.5539628,,,,,,0.5539628
1303,,,,,0.5502157,,,0.5502157
1305,,,0.5442953,,,,0.5276792,0.53598725
1313,,0.55816555,,,,,,0.55816555
1315,,,,0.56332964,,,,0.56332964
1317,,,,,,,0.5210073,0.5210073
1323,,,0.56734186,,,,,0.56734186
1325,,,,,,0.5798463,,0.5798463
1327,,,,0.5493749,,,,0.5493749
1329,,,,,,,0.5180492,0.5180492
1335,,,0.5386414,,,,,0.5386414
1336,0.5547098,,,,,,,0.5547098
1341,,,,,0.5402199,,,0.5402199
1342,,0.5419548,,,,,,0.5419548
1345,,,,0.558282,,,,0.558282
1347,0.54459375,,,,,,,0.54459375
1354,,,,,,0.5755657,,0.5755657
1355,,,,,0.5511526,,,0.5511526
1357,,,,,,,0.52996504,0.52996504
1362,0.5593526,,,,,,,0.5593526
1366,,0.5765355,,,0.5464471,,,0.5614912999999999
1367,,,,,,,0.56263703,0.56263703
1368,,,0.5631832,,,,,0.5631832
1374,,,,0.57371384,,,,0.57371384
1380,,0.5506613,,,,,,0.5506613
1384,,,,,0.55041283,,,0.55041283
1385,0.5575046,,,,,,,0.5575046
1390,,,,,,0.5509016,,0.5509016
1392,,,,,0.54697305,,,0.54697305
1393,,0.5759426,,0.55046856,,,,0.56320558
1408,,,0.5550725,,,,,0.5550725
1410,0.5770863,,,,,,0.5260514,0.55156885
1411,,0.576088,,,,0.5473758,,0.5617319000000001
1422,,0.57531315,0.5593439,,,,,0.567328525
1425,,,,0.55509466,0.5548294,,,0.55496203
1428,0.53591734,,,,,,,0.53591734
1432,,,,,,,0.5287282,0.5287282
1434,,0.57655334,,,,,,0.57655334
1439,,,,0.56416845,0.5495743,,,0.5568713750000001
1440,,,0.5399995,,,,,0.5399995
1441,0.5453836,,,,,,,0.5453836
1443,,,,,,,0.56962186,0.56962186
1449,,,0.5712551,,,0.55754477,,0.564399935
1451,,,,0.5758793,,,,0.5758793
1457,,,,,0.5333147,,,0.5333147
1458,,,,,,,0.5226373,0.5226373
1461,,0.56523967,,,,,,0.56523967
1464,,,,0.57159686,,,,0.57159686
1475,,,,,,,0.5512471,0.5512471
1477,,0.5531973,,,,,,0.5531973
