Epoch time step,Epoch number,Episode reward,N steps
400,1,-1000.0,5
800,2,-1000.0,5
1200,3,-1000.0,5
1600,4,-1000.0,5
2000,5,-882.0,5
2400,6,-1000.0,5
2800,7,-1000.0,5
3200,8,-767.0,5
3600,9,-603.0,5
4000,10,-857.0,5
4400,11,-472.0,5
4800,12,-1000.0,5
5200,13,-1000.0,5
5600,14,-439.0,5
6000,15,-805.0,5
6400,16,-714.0,5
6800,17,-1000.0,5
7200,18,-389.0,5
7600,19,-315.0,5
8000,20,-739.0,5
8400,21,-549.0,5
8800,22,-730.0,5
9200,23,-583.0,5
9600,24,-587.0,5
10000,25,-1000.0,5
10400,26,-462.0,5
10800,27,-319.0,5
11200,28,-510.0,5
11600,29,-303.0,5
12000,30,-309.0,5
12400,31,-218.0,5
12800,32,-117.0,5
13200,33,-262.0,5
13600,34,-286.0,5
14000,35,-181.0,5
14400,36,-179.0,5
14800,37,-144.0,5
15200,38,-178.0,5
15600,39,-125.0,5
16000,40,-146.0,5
16400,41,-131.0,5
16800,42,-139.0,5
17200,43,-207.0,5
17600,44,-412.0,5
18000,45,-314.0,5
18400,46,-279.0,6
18800,47,-295.0,6
19200,48,-190.0,7
19600,49,-350.0,7
20000,50,-576.0,7
20400,51,-265.0,8
20800,52,-1000.0,8
21200,53,-598.0,9
21600,54,-221.0,9
22000,55,-619.0,9
22400,56,-396.0,9
22800,57,-295.0,9
23200,58,-460.0,10
23600,59,-305.0,10
24000,60,-266.0,10
24400,61,-195.0,10
24800,62,-327.0,10
25200,63,-235.0,11
25600,64,-360.0,11
26000,65,-329.0,11
26400,66,-263.0,12
26800,67,-262.0,12
27200,68,-219.0,13
27600,69,-169.0,13
28000,70,-249.0,13
28400,71,-350.0,14
28800,72,-208.0,14
29200,73,-159.0,15
29600,74,-205.0,15
30000,75,-204.0,15
30400,76,-126.0,15
30800,77,-213.0,15
31200,78,-187.0,15
31600,79,-225.0,15
32000,80,-205.0,15
32400,81,-196.0,16
32800,82,-135.0,16
33200,83,-173.0,17
33600,84,-419.0,17
34000,85,-127.0,17
34400,86,-242.0,16
34800,87,-173.0,16
35200,88,-246.0,17
35600,89,-234.0,17
36000,90,-221.0,17
36400,91,-303.0,17
36800,92,-167.0,17
37200,93,-219.0,18
37600,94,-168.0,18
38000,95,-220.0,18
38400,96,-258.0,19
38800,97,-204.0,19
39200,98,-224.0,19
39600,99,-144.0,19
40000,100,-209.0,19
