Epoch time step,Epoch number,Episode reward
400,1,-945.0
800,2,-1000.0
1200,3,-1000.0
1600,4,-883.0
2000,5,-728.0
2400,6,-271.0
2800,7,-480.0
3200,8,-385.0
3600,9,-148.0
4000,10,-118.0
4400,11,-108.0
4800,12,-110.0
5200,13,-174.0
5600,14,-219.0
6000,15,-172.0
6400,16,-215.0
6800,17,-335.0
7200,18,-383.0
7600,19,-532.0
8000,20,-251.0
8400,21,-297.0
8800,22,-212.0
9200,23,-228.0
9600,24,-131.0
10000,25,-343.0
10400,26,-129.0
10800,27,-263.0
11200,28,-126.0
11600,29,-303.0
12000,30,-235.0
12400,31,-504.0
12800,32,-481.0
13200,33,-869.0
13600,34,-512.0
14000,35,-1000.0
14400,36,-1000.0
14800,37,-728.0
15200,38,-319.0
15600,39,-563.0
16000,40,-381.0
16400,41,-1000.0
16800,42,-1000.0
17200,43,-1000.0
17600,44,-1000.0
18000,45,-1000.0
18400,46,-1000.0
18800,47,-1000.0
19200,48,-1000.0
19600,49,-1000.0
20000,50,-1000.0
20400,51,-608.0
20800,52,-664.0
21200,53,-687.0
21600,54,-308.0
22000,55,-304.0
22400,56,-292.0
22800,57,-516.0
23200,58,-322.0
23600,59,-222.0
24000,60,-264.0
24400,61,-315.0
24800,62,-217.0
25200,63,-699.0
25600,64,-329.0
26000,65,-565.0
26400,66,-231.0
26800,67,-501.0
27200,68,-249.0
27600,69,-313.0
28000,70,-265.0
28400,71,-221.0
28800,72,-1000.0
29200,73,-222.0
29600,74,-748.0
30000,75,-403.0
30400,76,-266.0
30800,77,-580.0
31200,78,-439.0
31600,79,-420.0
32000,80,-355.0
32400,81,-575.0
32800,82,-737.0
33200,83,-896.0
33600,84,-762.0
34000,85,-759.0
34400,86,-920.0
34800,87,-311.0
35200,88,-572.0
35600,89,-604.0
36000,90,-1000.0
36400,91,-518.0
36800,92,-318.0
37200,93,-187.0
37600,94,-479.0
38000,95,-871.0
38400,96,-510.0
38800,97,-456.0
39200,98,-535.0
39600,99,-499.0
40000,100,-599.0
