Episode time step,Episode number,Episode reward,Mean Q value,Std Q value,Cv Q value,Mean loss,N steps
431,1,-430.0,-0.45729842773377205,1.0338229033295756,-2.2607182544949445,9.583162213699447,4
1431,2,-1000.0,-2.2109271006099878,1.8854268247107766,-0.8527765678889156,10.146518187999725,4
2431,3,-1000.0,-8.714027944087983,4.514865409516152,-0.5181146352163416,22.769667437553405,4
3431,4,-1000.0,-15.34720482635498,4.108101217433407,-0.2676774868071593,34.527467906951905,4
4431,5,-1000.0,-24.540190511703493,4.562355509091151,-0.18591361411458124,30.60413487625122,4
5431,6,-1000.0,-36.23947094154358,4.0805051257248754,-0.11259836359937409,27.252583539962767,4
6412,7,-980.0,-45.895521924157876,4.588034372210009,-0.0999669287951821,26.902484040255455,4
7412,8,-1000.0,-58.11304317474365,2.8297380266361554,-0.048693681694266876,30.09246302461624,4
8056,9,-643.0,-61.865709849766326,4.517580716816729,-0.07302236938341365,24.4601802052178,4
8661,10,-604.0,-66.98934188716667,2.862566503560819,-0.042731670784023755,27.819961897006706,4
9066,11,-404.0,-69.15994119526428,2.8475163177573553,-0.04117291409658311,28.331133886031164,4
9709,12,-642.0,-71.99652639480995,4.866714298506851,-0.0675965153071285,24.347140833156104,4
10440,13,-730.0,-75.44113519253712,2.5920485857003595,-0.03435855755729367,25.717735014927207,4
11440,14,-1000.0,-78.8427287902832,3.028312101488264,-0.03840952929906051,21.844716254234314,4
11732,15,-291.0,-79.9466819501903,3.0107731266886772,-0.03765976339786683,23.729614952247438,4
12567,16,-834.0,-83.03637688916601,2.3704390731779497,-0.028546995449258667,31.365296101712897,4
13453,17,-885.0,-83.50255342315604,3.1732238527271246,-0.03800151878765374,31.34000250555861,4
13835,18,-381.0,-85.21212017598576,2.6126753074792424,-0.03066084146343702,31.464563769507784,4
14432,19,-596.0,-85.55482692494864,3.3621094350121408,-0.03929771768414058,35.264760616037314,4
14943,20,-510.0,-85.4045680544381,3.1634810439661445,-0.03704112222603475,37.674634575143955,4
15786,21,-842.0,-86.33757985613948,1.8362865764226317,-0.02126868253062404,36.67974011789155,4
16170,22,-383.0,-86.86883006493251,3.168563358619666,-0.03647526225748909,47.57089232661141,4
16932,23,-761.0,-88.26943935684645,1.546969599252375,-0.017525540102259495,45.15178531948037,4
17932,24,-1000.0,-88.986227394104,2.6900204179307354,-0.030229626501830656,47.16404841709137,4
18329,25,-396.0,-89.48910520539175,1.7140065121554027,-0.019153242265876776,42.82863254075687,4
18640,26,-310.0,-89.0987332702833,1.81923770584668,-0.02041822188793611,58.4398933564735,4
19076,27,-435.0,-88.68938475792561,2.6127549321801853,-0.02945961277453444,43.106049057540545,4
19515,28,-438.0,-89.89657881265349,1.6326395415983888,-0.01816130895260037,46.104540119002785,4
19923,29,-407.0,-90.06111704134473,1.2565166437252684,-0.013951821662931786,38.75880333284537,4
20259,30,-335.0,-90.2507500194368,1.682271529570176,-0.018639972844634253,54.38615029039128,4
20851,31,-591.0,-89.42000633961446,2.1772105744217543,-0.024348137106508076,55.14794089866651,4
21703,32,-851.0,-89.70131485450996,1.641123154678083,-0.018295419162359928,52.620330516091535,4
22094,33,-390.0,-90.27068797157854,1.8427025909746297,-0.02041307795898043,59.569844350409326,4
22464,34,-369.0,-90.37656225256018,1.8609390888901691,-0.020590947946102615,56.097641395475414,4
22757,35,-292.0,-91.7698543665759,1.649201481331241,-0.01797105915351553,46.105529207011536,4
23136,36,-378.0,-91.67126543352032,1.6929374705376548,-0.01846748228609724,46.314372128342576,4
23403,37,-266.0,-91.43775942798857,1.6835035150077848,-0.018411469457906185,57.646706784430066,4
23667,38,-263.0,-91.88785726373845,1.2418384673210774,-0.01351471787786635,67.36997150054032,4
24074,39,-406.0,-91.69918247757145,1.5223950008917602,-0.01660205641706915,60.96107170959655,4
24363,40,-288.0,-91.59873798726751,1.2918294518882947,-0.01410313591949119,59.481817364073954,4
24582,41,-218.0,-91.74261934463291,1.5301466273457336,-0.016678689122638937,70.75398766327666,5
24774,42,-191.0,-92.11301755905151,1.530709972293062,-0.016617737784040777,90.86544224464645,5
24953,43,-178.0,-91.75221806531512,1.4730862382989875,-0.01605504770740638,101.28913920202069,5
25213,44,-259.0,-91.91382848299466,1.3972850401089216,-0.015202119889581565,94.71487894596962,5
25395,45,-181.0,-91.97377974122435,1.0627604300121558,-0.01155503702253314,70.31335521743193,5
25630,46,-234.0,-91.81136471362824,1.0159314199305316,-0.011065421182871595,80.53083957065927,5
25872,47,-241.0,-91.83985771620569,1.025760366938717,-0.011169010846123246,102.83782018240818,5
