Epoch time step,Epoch number,Episode reward
400,1,12.0
800,2,12.0
1200,3,12.0
1600,4,11.0
2000,5,10.0
2400,6,24.0
2800,7,18.0
3200,8,9.0
3600,9,22.0
4000,10,79.0
4400,11,18.0
4800,12,10.0
5200,13,15.0
5600,14,13.0
6000,15,15.0
6400,16,9.0
6800,17,11.0
7200,18,15.0
7600,19,12.0
8000,20,10.0
8400,21,143.0
8800,22,149.0
9200,23,162.0
9600,24,100.0
10000,25,92.0
10400,26,101.0
10800,27,302.0
11200,28,20.0
11600,29,56.0
12000,30,72.0
12400,31,88.0
12800,32,78.0
13200,33,81.0
13600,34,69.0
14000,35,69.0
14400,36,69.0
14800,37,18.0
15200,38,170.0
15600,39,165.0
16000,40,245.0
16400,41,54.0
16800,42,45.0
17200,43,203.0
17600,44,305.0
18000,45,99.0
18400,46,70.0
18800,47,79.0
19200,48,80.0
19600,49,25.0
20000,50,124.0
20400,51,105.0
20800,52,160.0
21200,53,148.0
21600,54,136.0
22000,55,134.0
22400,56,284.0
22800,57,167.0
23200,58,99.0
23600,59,110.0
24000,60,262.0
24400,61,133.0
24800,62,296.0
25200,63,162.0
25600,64,134.0
26000,65,351.0
26400,66,22.0
26800,67,147.0
27200,68,257.0
27600,69,267.0
28000,70,216.0
28400,71,138.0
28800,72,260.0
29200,73,270.0
29600,74,126.0
30000,75,163.0
30400,76,142.0
30800,77,114.0
31200,78,223.0
31600,79,185.0
32000,80,318.0
32400,81,114.0
32800,82,195.0
33200,83,173.0
33600,84,118.0
34000,85,118.0
34400,86,298.0
34800,87,169.0
35200,88,131.0
35600,89,111.0
36000,90,152.0
36400,91,182.0
36800,92,142.0
37200,93,213.0
37600,94,144.0
38000,95,206.0
38400,96,193.0
38800,97,256.0
39200,98,122.0
39600,99,30.0
40000,100,117.0
