Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward,Episode reward std
55,-1000.0,-1000.0,-1000.0,-593.0,-1000.0,-1000.0,-229.0,-831.7142857142857,283.3093787392727
56,-1000.0,-255.0,-1000.0,-1000.0,-1000.0,-1000.0,-131.0,-769.4285714285714,366.0686341356756
57,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-195.0,-885.0,281.6913204200655
58,-1000.0,-291.0,-1000.0,-1000.0,-1000.0,-1000.0,-295.0,-798.0,319.3918327965555
59,-151.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-376.0,-789.5714285714286,338.1072767809721
60,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-192.0,-884.5714285714286,282.74110173840114
61,-1000.0,-292.0,-1000.0,-412.0,-1000.0,-1000.0,-508.0,-744.5714285714286,300.5627375169342
62,-1000.0,-263.0,-1000.0,-1000.0,-1000.0,-1000.0,-577.0,-834.2857142857143,275.128393033255
63,-411.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-161.0,-796.0,329.39988724085157
64,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-467.0,-923.8571428571429,186.51114755763342
65,-1000.0,-238.0,-1000.0,-1000.0,-1000.0,-233.0,-404.0,-696.4285714285714,354.3726275880707
66,-1000.0,-1000.0,-1000.0,-227.0,-1000.0,-1000.0,-373.0,-800.0,318.62606834433905
67,-1000.0,-1000.0,-1000.0,-213.0,-1000.0,-1000.0,-156.0,-767.0,368.7201803923558
68,-1000.0,-1000.0,-1000.0,-527.0,-1000.0,-1000.0,-173.0,-814.2857142857143,308.50548237115856
69,-1000.0,-1000.0,-1000.0,-128.0,-1000.0,-1000.0,-138.0,-752.2857142857143,391.6797942509797
70,-1000.0,-1000.0,-1000.0,-649.0,-1000.0,-1000.0,-147.0,-828.0,303.2495436340931
71,-1000.0,-1000.0,-1000.0,-182.0,-1000.0,-1000.0,-146.0,-761.1428571428571,377.7888407076965
72,-1000.0,-1000.0,-1000.0,-188.0,-1000.0,-1000.0,-143.0,-761.5714285714286,377.18046349302915
73,-333.0,-197.0,-1000.0,-117.0,-1000.0,-1000.0,-198.0,-549.2857142857143,394.71281215794437
74,-1000.0,-1000.0,-1000.0,-103.0,-1000.0,-1000.0,-204.0,-758.1428571428571,383.3612353051543
75,-1000.0,-1000.0,-1000.0,-153.0,-1000.0,-1000.0,-306.0,-779.8571428571429,350.47006335223904
76,-1000.0,-1000.0,-1000.0,-155.0,-1000.0,-1000.0,-211.0,-766.5714285714286,369.3863084874143
77,-1000.0,-1000.0,-1000.0,-144.0,-1000.0,-1000.0,-1000.0,-877.7142857142857,299.5376028317715
78,-705.0,-1000.0,-1000.0,-144.0,-1000.0,-1000.0,-1000.0,-835.5714285714286,300.1199080095712
79,-652.0,-1000.0,-1000.0,-205.0,-1000.0,-1000.0,-328.0,-740.7142857142857,323.8406637687801
80,-1000.0,-1000.0,-1000.0,-155.0,-1000.0,-1000.0,-360.0,-787.8571428571429,339.8724250452255
81,-1000.0,-1000.0,-1000.0,-155.0,-1000.0,-1000.0,-1000.0,-879.2857142857143,295.68840466454077
82,-484.0,-1000.0,-1000.0,-158.0,-1000.0,-1000.0,-1000.0,-806.0,318.8748074984019
83,-1000.0,-409.0,-1000.0,-154.0,-1000.0,-1000.0,-1000.0,-794.7142857142857,331.66278670003464
84,-1000.0,-1000.0,-1000.0,-158.0,-1000.0,-1000.0,-559.0,-816.7142857142857,308.9820680352615
85,-1000.0,-1000.0,-1000.0,-213.0,-1000.0,-1000.0,-1000.0,-887.5714285714286,275.3926325100516
86,-1000.0,-1000.0,-1000.0,-180.0,-1000.0,-1000.0,-1000.0,-882.8571428571429,286.94022701174373
87,-1000.0,-1000.0,-1000.0,-188.0,-1000.0,-1000.0,-1000.0,-884.0,284.14081016284865
