Epoch time step,Epoch number,Episode reward,N steps
400,1,28.0,5
800,2,10.0,5
1200,3,10.0,5
1600,4,9.0,5
2000,5,9.0,5
2400,6,9.0,5
2800,7,9.0,5
3200,8,39.0,5
3600,9,31.0,5
4000,10,57.0,5
4400,11,109.0,5
4800,12,14.0,5
5200,13,25.0,4
5600,14,9.0,4
6000,15,27.0,4
6400,16,60.0,4
6800,17,77.0,4
7200,18,63.0,4
7600,19,26.0,3
8000,20,79.0,3
8400,21,13.0,3
8800,22,69.0,4
9200,23,82.0,3
9600,24,69.0,3
10000,25,31.0,3
10400,26,79.0,4
10800,27,54.0,4
11200,28,59.0,4
11600,29,125.0,3
12000,30,78.0,3
12400,31,59.0,4
12800,32,31.0,4
13200,33,65.0,4
13600,34,94.0,4
14000,35,98.0,4
14400,36,100.0,4
14800,37,52.0,5
15200,38,71.0,4
15600,39,95.0,4
16000,40,81.0,4
16400,41,74.0,5
16800,42,40.0,5
17200,43,59.0,5
17600,44,48.0,5
18000,45,44.0,5
18400,46,234.0,5
18800,47,69.0,5
19200,48,32.0,5
19600,49,111.0,6
20000,50,25.0,6
20400,51,123.0,6
20800,52,127.0,7
21200,53,141.0,7
21600,54,198.0,7
22000,55,309.0,8
22400,56,121.0,8
22800,57,162.0,8
23200,58,403.0,9
23600,59,149.0,9
24000,60,131.0,9
24400,61,179.0,9
24800,62,171.0,10
25200,63,95.0,10
25600,64,115.0,10
26000,65,265.0,10
26400,66,164.0,10
26800,67,92.0,11
27200,68,147.0,12
27600,69,21.0,12
28000,70,201.0,13
28400,71,24.0,12
28800,72,265.0,12
29200,73,29.0,11
29600,74,72.0,12
30000,75,15.0,12
30400,76,160.0,11
30800,77,131.0,11
31200,78,263.0,11
31600,79,102.0,11
32000,80,199.0,10
32400,81,260.0,10
32800,82,177.0,9
33200,83,102.0,9
33600,84,91.0,9
34000,85,309.0,8
34400,86,198.0,9
34800,87,214.0,9
35200,88,229.0,10
35600,89,675.0,9
36000,90,156.0,9
36400,91,220.0,8
36800,92,225.0,9
37200,93,113.0,9
37600,94,164.0,8
38000,95,23.0,9
38400,96,95.0,9
38800,97,92.0,10
39200,98,86.0,11
39600,99,27.0,11
40000,100,103.0,12
