Episode time step,Episode number,Episode reward,Mean Q value,Std Q value,Cv Q value,Mean loss,N steps
946,1,-945.0,-2.041413196519088,2.087325520275505,-1.0224904609388754,16.11256266245126,5
1736,2,-789.0,-7.479378375826003,3.7112304458655814,-0.4961950391306046,26.003294053862366,5
2736,3,-1000.0,-12.648439529418946,2.750532380316445,-0.2174602150659767,41.251689758300785,5
3736,4,-1000.0,-22.04860261821747,3.965182002767084,-0.1798382451453357,43.392922060012815,5
4736,5,-1000.0,-32.81287691497803,4.545768804289419,-0.13853612458511436,39.5677991271019,5
5357,6,-620.0,-45.5074789504882,4.157536576152008,-0.09135941326645182,34.15720273676702,5
6272,7,-914.0,-50.96827292937399,7.676811043637065,-0.15061940698431578,33.127948104879245,5
7272,8,-1000.0,-64.01030158233642,4.906769212525265,-0.07665593023669307,36.3479669213295,5
8036,9,-763.0,-69.96072107584689,6.247701693756559,-0.08930299170277568,38.8224207181581,5
9036,10,-1000.0,-75.9814317855835,3.70095098185226,-0.04870862386873931,33.053165798425674,5
10036,11,-1000.0,-78.11308211898803,5.300056184518485,-0.06785106976632953,37.625167202234266,5
11036,12,-1000.0,-82.768069480896,2.7233328747557843,-0.0329031822517543,31.443809367299078,5
11969,13,-932.0,-83.84217997200363,4.35181072192605,-0.05190478972969447,23.37446753886735,5
12166,14,-196.0,-85.53008618814691,5.212368309898311,-0.06094192748072621,20.582070706459472,5
12882,15,-715.0,-93.46487810358654,8.116930765944659,-0.08684471569040848,27.04760699565184,5
13458,16,-575.0,-89.7435729900996,3.180321816294811,-0.03543787828289008,35.01410979943143,5
13767,17,-308.0,-86.92891757310787,5.067762855997769,-0.058297779352144155,39.49780224750729,5
14184,18,-416.0,-85.32156004322519,5.052854676481689,-0.05922131140032879,35.441706854090704,5
14565,19,-380.0,-86.8938569597059,3.901981620558547,-0.04490514930610066,42.13042750195881,5
14930,20,-364.0,-87.07830214827028,5.421922033625247,-0.062264902965071735,44.66775159280594,5
15417,21,-486.0,-86.99472761839567,4.888567279510263,-0.05619383396375552,40.34377544469657,5
15819,22,-401.0,-87.76551072988937,4.440531950318613,-0.0505954094426109,46.46242940129332,5
16090,23,-270.0,-88.97562391555617,3.7093166060480116,-0.041689132852481055,55.877925395525686,5
16401,24,-310.0,-87.12355308900692,4.857207284680174,-0.055750794273942986,54.679594432809346,5
17187,25,-785.0,-87.64334360758464,3.4968561689336433,-0.03989870793371952,57.72628999757403,5
17522,26,-334.0,-91.70876278094391,2.4404156586412515,-0.026610495929057974,66.76453915745465,5
17940,27,-417.0,-89.7326670194927,2.7395642778639657,-0.03053028923423003,56.39158880425412,5
18237,28,-296.0,-89.00549280442775,3.8943676680168875,-0.04375423971387926,66.29511297832836,5
18663,29,-425.0,-91.13909143797109,3.0469455063324893,-0.033431817875935584,70.81698418642993,5
18941,30,-277.0,-88.07239535215089,3.6027345967749396,-0.0409065131289966,72.37196058892518,5
19137,31,-195.0,-88.87622514062998,3.004721224465075,-0.03380793029531426,62.78197528148184,5
19370,32,-232.0,-89.58248344716084,2.9400514602163192,-0.03281949045262262,83.59839317343265,5
19583,33,-212.0,-89.70227355240657,2.543830615307958,-0.028358596884635053,74.07637118061943,5
19801,34,-217.0,-90.19700500068315,3.2347835416447075,-0.03586353606331172,74.46080034123648,5
20083,35,-281.0,-88.92480871863398,3.7036354485756555,-0.04164906848767354,82.03790017370636,5
20257,36,-173.0,-89.43935508289556,2.2875234222311662,-0.02557625130582626,85.79152632992843,5
20598,37,-340.0,-88.17053090652063,2.99638484211024,-0.03398397187022771,86.6405833252539,5
20793,38,-194.0,-88.43919239533253,2.700298914513627,-0.030532830992429306,91.26437250711979,5
21103,39,-309.0,-87.4339490090647,2.939969913770305,-0.033625038638772954,103.95680047831227,5
21469,40,-365.0,-88.18212375745095,2.3875606467226,-0.02707533619046982,102.02974299215228,5
21782,41,-312.0,-88.36060045626216,2.6777326984631014,-0.03030460051919361,101.98851189940882,5
22026,42,-243.0,-86.11124054330294,2.5523484190928185,-0.029640130637873154,109.04179050492459,5
22374,43,-347.0,-85.01731931752172,3.594596643945817,-0.04228075729511957,97.32314571061696,5
22652,44,-277.0,-86.15638905806507,2.92485557076042,-0.033948214435834984,98.93674476283917,5
22917,45,-264.0,-85.88932716801482,3.161928432074759,-0.03681398534988479,120.64064801549011,5
23090,46,-172.0,-86.58028645598131,2.1380305371662054,-0.024694195696074665,100.42137884507979,5
23314,47,-223.0,-86.45933863094875,2.3423464211227714,-0.02709188455767705,120.55197159333953,5
23456,48,-141.0,-85.56525781121053,2.8861222687615635,-0.033730071556956516,105.41409532075197,5
23625,49,-168.0,-84.45269093710995,2.676812738483822,-0.03169600291928158,103.3528454395441,5
23897,50,-271.0,-85.9478460480185,2.249872244587416,-0.026177180092802173,108.04195171890451,5
24112,51,-214.0,-85.76521177070086,2.307441147936582,-0.02690416195911325,116.29285504208055,5
24329,52,-216.0,-84.53112824611401,3.3355161491884964,-0.03945902791545709,123.34738427537927,5
24613,53,-283.0,-84.52131526570925,2.6612639719948405,-0.03148630571624019,108.01917895947544,5
24802,54,-188.0,-86.86660972474114,2.3530245216871584,-0.02708779045416084,121.0643965523079,5
25021,55,-218.0,-85.51264385763369,2.439437491124705,-0.028527214001078244,135.55870309213526,5
25216,56,-194.0,-85.24195091051934,1.7713029445882154,-0.02077970911819695,119.02067474906261,5
25400,57,-183.0,-85.56431637639585,2.0606481637982963,-0.024083031935106487,130.44313140990943,5
25613,58,-212.0,-85.48001983356028,2.394922730779513,-0.028017339437247574,135.20938316980997,5
25932,59,-318.0,-85.18491071742903,2.2508303882248955,-0.026422876648790925,119.7817357920554,5
26223,60,-290.0,-83.23055560973911,2.443930283114077,-0.029363378211404174,121.79779551600673,5
26480,61,-256.0,-83.62617305651713,2.2260420320570273,-0.026618963306530838,122.11166703457498,5
26702,62,-221.0,-82.97239685058594,2.8881014290406317,-0.034807978781683666,121.94003623710559,5
26999,63,-296.0,-82.40447676944412,1.8607532480771538,-0.022580730089255634,130.4516706607157,5
27155,64,-155.0,-82.18043004549466,2.5306966706046206,-0.030794395565995943,133.7919079669011,5
27309,65,-153.0,-82.47873608477704,1.695975437723919,-0.020562577922880444,150.43011399639119,5
27524,66,-214.0,-79.79678497314453,2.293868183816759,-0.02874637348595882,129.34730540708054,5
27709,67,-184.0,-80.30998951679952,2.3452504661319313,-0.029202475062474562,123.79563471368841,5
28013,68,-303.0,-78.73937398508976,2.8532252330234282,-0.036236321024900715,124.20566740259528,5
28241,69,-227.0,-79.64498228775828,2.249212534631689,-0.02824048006571534,124.28435921773576,5
28479,70,-237.0,-78.33809681099002,1.88790628301884,-0.02409946577555847,115.84301302675941,5
28763,71,-283.0,-78.67105209995323,1.8734105204047318,-0.02381321299764142,115.80251728596402,5
29060,72,-296.0,-78.04977625066584,2.072469829475256,-0.02655318091904941,99.46158125223937,5
29280,73,-219.0,-79.68490253795277,1.7561768118336718,-0.022039015621525423,101.22715723636476,5
29449,74,-168.0,-80.1684914312419,1.969507156185941,-0.024567097634300976,140.04944346254393,5
29758,75,-308.0,-79.37245052300611,1.890323165388917,-0.023815859948043392,130.78538581757869,5
29947,76,-188.0,-79.76960976413949,1.9590247290214553,-0.024558534695278612,107.19649573261776,5
30122,77,-174.0,-78.4709576851981,2.3895952533591736,-0.030451970051716605,150.06135647501264,5
30326,78,-203.0,-77.93397753846412,1.7725087309708596,-0.022743722147327106,103.50457276681475,5
30542,79,-215.0,-78.49371680506954,1.7707112802608818,-0.022558637204787325,126.28955912176106,5
30770,80,-227.0,-77.32501123662581,1.842439923489239,-0.02382721830910705,110.61237329009332,5
31005,81,-234.0,-76.92329007412525,1.5425555072256316,-0.02005316602733952,122.70908265773286,5
31195,82,-189.0,-75.82801023784437,1.7378499504680724,-0.022918311386743252,133.58576283517635,5
31401,83,-205.0,-74.58756415357867,2.0193070288635346,-0.027072971905956113,118.4760654285116,5
31637,84,-235.0,-74.25498761969098,1.8724499050541599,-0.02521648666409073,112.25898053332911,5
31814,85,-176.0,-72.85913129041424,1.5105705526636553,-0.020732755468117894,125.65400754193128,5
32196,86,-381.0,-71.90691335787947,2.2975648547073635,-0.0319519326781894,112.0986823764147,5
32341,87,-144.0,-72.14668652764682,1.2709231361365512,-0.017615821284453995,107.05829076191475,5
32543,88,-201.0,-71.11033532170966,1.5569793335686135,-0.021895260745497778,115.13834447494828,5
32793,89,-249.0,-70.72898107910156,1.721801435772507,-0.024343648240130685,108.4775708603859,5
33015,90,-221.0,-70.25227459056957,1.7188803050852877,-0.024467254834137774,109.86130507357485,5
33192,91,-176.0,-70.1512258066296,1.9693448579181123,-0.028072850264178856,109.09435745955861,5
33414,92,-221.0,-69.54205531902142,1.9619505025697164,-0.028212431938764916,122.9452623306094,5
33535,93,-120.0,-69.81197495893998,1.2286764028410702,-0.017599794355677777,92.18489875527453,5
33710,94,-174.0,-70.02042236328126,1.4074772865236915,-0.02010095396485031,87.36150612013681,5
33860,95,-149.0,-70.6739171854655,1.6148098693695154,-0.022848738738109886,96.14380325476328,5
34050,96,-189.0,-69.37242750870554,1.9687501460433552,-0.028379432819996053,120.50771974387922,5
34197,97,-146.0,-69.64102079430405,1.666103422473088,-0.0239241671570868,117.40131484570146,5
34404,98,-206.0,-70.09002077406731,1.32620184462502,-0.018921407498222673,101.86766529227225,5
34623,99,-218.0,-69.00822072486355,1.749153758970288,-0.025347034608299512,113.38023330686299,5
34744,100,-120.0,-69.36173311343863,1.3671236111626763,-0.01971005552768981,114.30716266858676,5
34850,101,-105.0,-68.66672609437187,1.5080058641647773,-0.021961231442609554,128.17299419079185,5
34991,102,-140.0,-68.10256644174562,1.340809178418959,-0.019688085904455248,102.63252986914722,5
