Episode time step,Episode number,Episode reward,Mean Q value,Std Q value,Cv Q value,Mean loss,N steps
845,1,-844.0,-1.1501879896588358,1.6263197253175157,-1.413959926498544,15.120003572723569,5
1845,2,-1000.0,-4.203616022512317,2.5888765477717146,-0.6158689409087504,16.999954241275788,5
2845,3,-1000.0,-9.727820753574372,3.4430505767029818,-0.3539385299053618,35.09366972827912,5
3735,4,-889.0,-18.667264733689553,4.823226651474773,-0.25837886376412206,48.48667785237345,5
4735,5,-1000.0,-28.476761993408203,5.032283631395485,-0.1767154437207558,44.749274642944336,5
5735,6,-1000.0,-43.080109691619874,5.775085602741816,-0.13405457052179257,42.585458205223084,5
6443,7,-707.0,-54.83808080490026,5.865173980987695,-0.10695439911280759,41.71205872263612,5
7169,8,-725.0,-59.86348728831478,7.488742353436972,-0.12509699472350583,51.55906410388053,5
7696,9,-526.0,-67.57936302489077,5.096656411454576,-0.07541734907411572,54.145788519387004,5
8529,10,-832.0,-66.74993495322934,7.428875562342622,-0.11129412436952817,63.45548681394249,5
9150,11,-620.0,-73.95428945937594,6.6682048718893006,-0.09016657344199396,61.42335805263304,5
9532,12,-381.0,-74.91776473359911,6.59753554997354,-0.08806369989059054,67.86537687191789,5
10532,13,-1000.0,-77.55801229858399,3.808388671913903,-0.04910374259273577,64.41662905740738,5
10984,14,-451.0,-76.54009004609775,7.020712411996976,-0.09172594920869072,51.195348851448664,5
11679,15,-694.0,-79.47324563444947,4.603349120218578,-0.057923255599657456,45.20782400858488,5
12412,16,-732.0,-82.23964330509284,3.5631550901987827,-0.043326490084352395,55.49051305606941,5
13134,17,-721.0,-79.52502660143739,4.304967728552114,-0.05413349624046908,54.28385329312565,5
13942,18,-807.0,-82.32249754726297,4.495698573070387,-0.05461081365381702,52.866599445295805,5
14463,19,-520.0,-85.94610254503715,3.305023518288762,-0.03845460608940209,55.445971574984675,6
14824,20,-360.0,-84.314175909576,4.936218661118445,-0.05854553647553131,67.35877714130687,6
15322,21,-497.0,-85.18431903272268,5.070690493239019,-0.059526102348616126,63.47314482041631,6
15682,22,-359.0,-85.85228996276855,4.698904105457541,-0.05473242597833219,77.41324026319715,7
16170,23,-487.0,-86.8087133970417,4.020736152710291,-0.046317195536817055,79.95230578936514,7
16728,24,-557.0,-85.6894174527951,4.195638644623978,-0.04896332323574596,80.03832156213808,7
17728,25,-1000.0,-87.35468005371094,3.707743866209419,-0.04244470775841288,84.13203526496888,7
18060,26,-331.0,-86.63040903390171,3.081628619432708,-0.035572135163609256,66.90266524021884,7
18734,27,-673.0,-89.33380039792387,2.6179999995113485,-0.02930581692315635,91.6642446726649,8
19116,28,-381.0,-88.54299393499085,3.4400017049212144,-0.0388512015693404,98.38065878134124,8
19758,29,-641.0,-89.7501000852971,2.9009766520320324,-0.03232282358766162,101.45813481180096,9
20008,30,-249.0,-89.21323971557617,3.651167329467571,-0.04092629458483948,116.02103963375092,9
20331,31,-322.0,-88.8527494259294,4.525754900594219,-0.05093545140510298,107.55712487527829,9
20872,32,-540.0,-89.45846898895094,3.9314316924044883,-0.04394700397667281,112.19769469228558,9
21250,33,-377.0,-88.43754458553576,3.311641894009996,-0.03744610854507629,119.3419980567599,9
21662,34,-411.0,-89.24394455696772,3.384372630877142,-0.037922714506604664,126.37557356652704,9
21897,35,-234.0,-90.60301656520113,1.9104253842031151,-0.021085670837772887,118.83224139619381,9
22262,36,-364.0,-90.37266824800675,2.4067071013638013,-0.02663091782085214,135.97575099892813,9
22584,37,-321.0,-89.08815552136913,1.8349716626820076,-0.020597257311516144,139.68139126730262,10
22850,38,-265.0,-88.83639950859815,2.0490002288273876,-0.02306487250903356,148.59675335570387,10
23048,39,-197.0,-88.5181665902186,1.9608745702573864,-0.022152227568550502,142.43667496334422,10
23269,40,-220.0,-87.46358517607952,2.822285791350058,-0.032268123764516425,129.95996782898362,10
24063,41,-793.0,-92.54017548837349,4.49137987115424,-0.04853437814928852,149.81850363730783,11
24349,42,-285.0,-85.5945437237933,1.7831438613226056,-0.020832447767659905,172.74692671782486,11
24563,43,-213.0,-83.94664087028147,1.895758987347681,-0.022582904660558154,149.43666824782005,11
24851,44,-287.0,-83.56053007973566,2.559000717502737,-0.030624515127666986,166.45181951092349,11
25324,45,-472.0,-81.9169104578127,2.1578412421518385,-0.02634182893485868,168.82776034508396,12
25727,46,-402.0,-82.09371033850734,2.0573880846582764,-0.025061458133330664,152.74423910488858,12
26513,47,-785.0,-81.18595983296557,1.6521681922986842,-0.020350417679336485,163.09283469378494,12
26772,48,-258.0,-81.05184108778316,1.9749288232513962,-0.024366242601601737,150.91126935362357,12
27260,49,-487.0,-80.6586329507046,1.8149489994779415,-0.022501608731543558,170.89970853094195,12
27525,50,-264.0,-79.99161854869915,1.77092046106312,-0.022138825206855617,157.3946539420002,12
27791,51,-265.0,-79.96841350354646,1.919382928927212,-0.02400176325671499,171.99512436246513,12
28296,52,-504.0,-79.63718255675666,1.5421161660338947,-0.019364273276931205,171.14346842624172,12
28631,53,-334.0,-79.23267027442135,1.7868885217399226,-0.02255242080761707,179.47930517837182,12
29095,54,-463.0,-78.79093576299734,1.4378336134009777,-0.01824871858009115,174.20509629773682,12
29334,55,-238.0,-78.11686061715481,1.4179067463900497,-0.018151097409547855,168.87359596396092,12
29548,56,-213.0,-77.42115316658376,1.966044888742007,-0.02539415661391342,182.44259742487256,13
29736,57,-187.0,-77.16286306178316,2.814753963527456,-0.03647809129728279,192.49042109479296,13
29990,58,-253.0,-77.64089220903051,2.0288674002510603,-0.02613142820137608,213.44664148270616,13
30310,59,-319.0,-76.6512897491455,1.6468129213030847,-0.021484477647963424,192.55541530549527,13
30626,60,-315.0,-76.75461018236378,1.9816682674315431,-0.025818231148894286,194.80963723568976,13
30811,61,-184.0,-77.9092748281118,1.6526749053071483,-0.021212813351855483,211.89747858047485,13
31191,62,-379.0,-77.74075809277986,2.182478193481947,-0.028073796127344994,209.98928000299554,13
31652,63,-460.0,-77.55412848549138,1.1942833486441287,-0.015399352322907633,208.38533219546403,13
31921,64,-268.0,-77.06218518111785,2.1324860047201923,-0.027672275315165917,194.570283600832,13
32103,65,-181.0,-76.94323302887298,1.9779408180652243,-0.02570649477807881,200.73574139521673,13
32274,66,-170.0,-76.38033767610963,2.1122456912733405,-0.02765431203289917,185.73022301155225,13
32602,67,-327.0,-77.67662597284084,1.703928941188446,-0.02193618633466668,204.76683749222173,13
32810,68,-207.0,-77.26501736274132,1.8643312179882443,-0.024129046774630777,211.1267323448108,13
33176,69,-365.0,-77.18670754354508,1.7475974737828173,-0.022641171380407766,207.9253800345249,13
33333,70,-156.0,-75.88208139018649,2.057148864246327,-0.027109810729471762,212.56345614050605,13
33591,71,-257.0,-77.36575397225313,1.6792808245944169,-0.021705738500224312,206.40514246068258,13
33884,72,-292.0,-76.52178874357568,2.5470604546066546,-0.03328542754197563,211.89659121418975,13
34017,73,-132.0,-76.04300987989383,2.437859330787727,-0.03205895367158934,217.94211605258454,13
34136,74,-118.0,-75.88893691631927,1.7685252887870888,-0.023304125221008103,207.39828441924408,13
34315,75,-178.0,-76.11903342987571,2.800228836597133,-0.03678749861132735,220.86309816584242,13
34433,76,-117.0,-75.31270450656697,2.0005138720429785,-0.02656276766516254,212.27036141945143,13
34589,77,-155.0,-76.25715514941093,1.961812198690228,-0.02572627047057344,217.55717202638968,13
34775,78,-185.0,-75.33316146686514,2.4100435569225214,-0.03199180161823642,241.98678400695965,13
35035,79,-259.0,-76.15575018662673,1.7488400656460594,-0.022963992362498756,227.64096048245062,13
35232,80,-196.0,-75.1395086685413,2.807837050735429,-0.037368317952696274,236.75175454773878,13
35347,81,-114.0,-73.65752941629161,2.052307256275621,-0.027862830487791118,248.34118341362995,13
